"Poll","Date","Sample","MoE","Klobuchar (D)","Trump (R)","Spread","id"
"ABC News/Wash PostABC/WP","1/20 - 1/23","880 RV","4.0",48,47,"Klobuchar +1",5949
"ABC News/Wash PostABC/WP","2/14 - 2/17","913 RV","4.0",48,46,"Klobuchar +2",5844
"CNNCNN","1/16 - 1/19","1051 RV","3.6",48,45,"Klobuchar +3",1638
"EmersonEmerson","2/14 - 2/16","1000 RV","3.3",51,49,"Klobuchar +2",1680
"EmersonEmerson","2/16 - 2/18","1250 RV","2.7",49,51,"Trump +2",9807
"FOX NewsFOX News","1/19 - 1/22","1005 RV","3.0",43,42,"Klobuchar +1",9799
"LA Times/USCLA Times","1/15 - 1/28","4869 RV","2.0",42,40,"Klobuchar +2",6287
"NBC News/Wall St. JrnlNBC/WSJ","2/14 - 2/17","900 RV","3.3",48,45,"Klobuchar +3",5486
"NPR/PBS/MaristNPR/PBS","2/13 - 2/16","1164 RV","3.7",47,45,"Klobuchar +2",1107
"QuinnipiacQuinnipiac","12/4 - 12/9","1553 RV","2.5",47,43,"Klobuchar +4",1012
"QuinnipiacQuinnipiac","2/5 - 2/9","1519 RV","2.5",49,43,"Klobuchar +6",7275
"RCP Average","2/5 - 2/18","--","--",48.2,46,"Klobuchar +2.2",4305
