"Poll","Date","Sample","MoE","Buttigieg (D)","Trump (R)","Spread","id"
"ABC News/Wash PostABC/WP","1/20 - 1/23","880 RV","4.0",45,48,"Trump +3",5949
"ABC News/Wash PostABC/WP","10/27 - 10/30","876 RV","4.0",52,41,"Buttigieg +11",6192
"ABC News/Wash PostABC/WP","2/14 - 2/17","913 RV","4.0",49,46,"Buttigieg +3",5844
"ABC News/Wash PostABC/WP","6/28 - 7/1","875 RV","4.0",47,47,"Tie",9476
"ABC News/Wash PostABC/WP","9/2 - 9/5","877 RV","4.0",47,43,"Buttigieg +4",6258
"CNNCNN","1/16 - 1/19","1051 RV","3.6",49,45,"Buttigieg +4",1638
"CNNCNN","10/17 - 10/20","892 RV","4.0",50,44,"Buttigieg +6",7810
"CNNCNN","12/12 - 12/15","888 RV","4.0",45,46,"Trump +1",9397
"CNNCNN","4/25 - 4/29","439 RV","5.7",47,44,"Buttigieg +3",8976
"EmersonEmerson","1/21 - 1/23","1128 RV","2.8",49,51,"Trump +2",5891
"EmersonEmerson","11/17 - 11/20","1092 RV","2.9",48,52,"Trump +4",6743
"EmersonEmerson","12/15 - 12/17","1222 RV","2.7",50,50,"Tie",7513
"EmersonEmerson","2/16 - 2/18","1250 RV","2.7",49,51,"Trump +2",9807
"EmersonEmerson","4/11 - 4/14","914 RV","3.2",49,51,"Trump +2",2867
"EmersonEmerson","5/10 - 5/13","1006 RV","3.0",50,50,"Tie",8597
"EmersonEmerson","6/21 - 6/24","1096 RV","2.9",52,48,"Buttigieg +4",1291
"EmersonEmerson","7/27 - 7/29","1233 RV","2.7",48,52,"Trump +4",8162
"EmersonEmerson","7/6 - 7/8","1100 RV","2.9",49,51,"Trump +2",3546
"EmersonEmerson","8/24 - 8/26","1458 RV","2.5",49,51,"Trump +2",3549
"FOX NewsFOX News","1/19 - 1/22","1005 RV","3.0",45,41,"Buttigieg +4",9799
"FOX NewsFOX News","10/27 - 10/30","1040 RV","3.0",41,41,"Tie",7472
"FOX NewsFOX News","12/8 - 12/11","1000 RV","3.0",43,42,"Buttigieg +1",8287
"FOX NewsFOX News","5/11 - 5/14","1001 RV","3.0",40,41,"Trump +1",3437
"FOX NewsFOX News","6/9 - 6/12","1001 RV","3.0",41,40,"Buttigieg +1",1274
"IBD/TIPPIBD/TIPP","1/23 - 1/30","856 RV","3.3",45,48,"Trump +3",8481
"IBD/TIPPIBD/TIPP","1/3 - 1/11","846 RV","3.3",47,46,"Buttigieg +1",7274
"IBD/TIPPIBD/TIPP","12/5 - 12/14","849 RV","3.5",44,46,"Trump +2",6238
"LA Times/USCLA Times","1/15 - 1/28","4869 RV","2.0",43,40,"Buttigieg +3",6287
"NBC News/Wall St. JrnlNBC/WSJ","1/26 - 1/29","1000 RV","3.1",46,45,"Buttigieg +1",4690
"NBC News/Wall St. JrnlNBC/WSJ","2/14 - 2/17","900 RV","3.3",48,44,"Buttigieg +4",5486
"NPR/PBS/MaristNPR/PBS","2/13 - 2/16","1164 RV","3.7",47,45,"Buttigieg +2",1107
"PPP (D)PPP (D)","3/27 - 3/28","846 RV","3.4",45,41,"Buttigieg +4",6052
"QuinnipiacQuinnipiac","12/4 - 12/9","1553 RV","2.5",48,43,"Buttigieg +5",1012
"QuinnipiacQuinnipiac","2/5 - 2/9","1519 RV","2.5",47,43,"Buttigieg +4",7275
"QuinnipiacQuinnipiac","6/6 - 6/10","1214 RV","3.5",47,42,"Buttigieg +5",6564
"QuinnipiacQuinnipiac","8/21 - 8/26","1422 RV","4.6",49,40,"Buttigieg +9",3611
"Rasmussen ReportsRasmussen","4/14 - 4/18","5000 LV","1.5",40,44,"Trump +4",8600
"RCP Average","2/5 - 2/18","--","--",48,45.8,"Buttigieg +2.2",4305
"SurveyUSASUSA","10/15 - 10/16","3080 RV","2.1",44,43,"Buttigieg +1",1677
"SurveyUSASUSA","11/20 - 11/21","3850 RV","1.7",48,41,"Buttigieg +7",5656
"SurveyUSASUSA","8/1 - 8/5","5459 RV","1.6",42,44,"Trump +2",9188
"USA Today/SuffolkUSA Today","12/10 - 12/14","1000 RV","3.0",33,43,"Trump +10",2810
