"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.warrene","results.gabbardt","results.bloombergm","results.buttigiegp","results.klobuchara","results.steyert","results.bookerc","results.yanga","results.delaneyj","results.williamsonm","results.bennetm","results.burkes","results.castroj","results.de_la_fuente_iiir","results.haasb","results.hewesh","results.patrickd","results.steinmanl","results.steinmanv","results.wellsr","results.uncommitted"
"1","29001","Adair",  2030,  12,  12,  1025,   874,    55,    17,    16,    13,    13,     6,     2,     2,     1,     1,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     5
"2","29003","Andrew",  1312,  20,  20,   818,   415,    11,    18,    13,     3,     9,     0,     3,     3,     1,     0,     0,     2,     0,     1,     0,     1,     0,     0,     1,     1,    12
"3","29005","Atchison",   315,   6,   6,   211,    85,     1,     4,     2,     2,     2,     1,     0,     1,     0,     0,     0,     1,     0,     0,     2,     0,     0,     1,     0,     0,     2
"4","29007","Audrain",  1624,  16,  16,  1088,   426,    23,    22,    19,     7,    14,     2,     3,     0,     0,     1,     3,     0,     1,     0,     0,     0,     0,     1,     0,     2,    12
"5","29009","Barry",  1583,  17,  17,  1040,   441,    22,    15,    23,     8,     8,     4,     3,     1,     0,     0,     2,     2,     1,     1,     1,     0,     0,     0,     2,     0,     9
"6","29011","Barton",   421,   9,   9,   241,   146,     8,     7,     3,     2,     4,     0,     1,     1,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     8
"7","29013","Bates",   944,  16,  16,   602,   273,    16,    18,     8,     3,     6,     1,     2,     4,     1,     0,     0,     0,     0,     0,     1,     2,     0,     0,     1,     0,     6
"8","29015","Benton",  1212,   8,   8,   843,   279,     8,    10,    27,    15,    12,     2,     0,     1,     1,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,    14
"9","29017","Bollinger",   460,   9,   9,   294,   146,     3,     3,     5,     0,     2,     1,     0,     2,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     4
"10","29019","Boone", 30267,  55,  55, 15283, 13604,   481,   290,   203,   111,   114,    13,    14,    58,     3,     3,     1,     1,     3,     2,     7,     3,     1,    11,     5,     2,    54
"11","29021","Buchanan",  7451,  24,  24,  4322,  2645,    90,    81,   113,    50,    37,    21,    10,    18,     1,     0,     3,     1,     3,     2,     1,     1,     3,     2,     3,     1,    43
"12","29023","Butler",  1642,  23,  23,   997,   564,    18,    10,    13,     5,     7,     7,     2,     3,     0,     0,     0,     2,     1,     0,     1,     1,     1,     0,     1,     0,     9
"13","29025","Caldwell",   549,  11,  11,   332,   158,    10,     9,     9,     5,    10,     4,     0,     2,     0,     0,     0,     1,     0,     0,     0,     0,     1,     2,     0,     0,     6
"14","29027","Callaway",  3469,  24,  24,  2137,  1099,    54,    47,    57,    18,    17,     5,     5,     3,     2,     0,     0,     1,     0,     0,     1,     0,     1,     9,     0,     1,    12
"15","29029","Camden",  3039,  20,  20,  2101,   756,    34,    34,    49,    25,     7,     3,     4,     4,     0,     1,     2,     1,     1,     0,     2,     0,     1,     0,     1,     1,    12
"16","29031","Cape Girardeau",  5356,  35,  35,  3030,  2062,    73,    50,    52,    24,    27,     1,     5,     9,     1,     2,     0,     0,     0,     1,     2,     0,     1,     0,     2,     0,    14
"17","29033","Carroll",   463,  12,  12,   306,   127,     6,     7,     5,     3,     4,     1,     0,     0,     0,     0,     0,     0,     1,     0,     0,     1,     0,     0,     1,     0,     1
"18","29035","Carter",   243,   7,   7,   139,    92,     1,     3,     2,     1,     1,     1,     1,     0,     0,     0,     0,     0,     1,     0,     0,     1,     0,     0,     0,     0,     0
"19","29037","Cass",  9202,  29,  29,  5837,  2888,    92,    81,   124,    44,    41,     7,     8,    17,     0,     3,     5,     0,     0,     2,     1,     3,     0,     4,     3,     2,    40
"20","29039","Cedar",   673,  10,  10,   432,   192,    11,    10,    12,     3,     4,     3,     1,     1,     0,     0,     0,     1,     0,     0,     0,     0,     0,     0,     0,     0,     3
"21","29041","Chariton",   639,  13,  13,   439,   151,     7,    15,    10,     2,     2,     3,     0,     3,     0,     0,     1,     1,     0,     0,     0,     0,     1,     0,     0,     0,     4
"22","29043","Christian",  5420,  26,  26,  3135,  2028,    54,    43,    70,    27,    22,     6,     3,     7,     2,     2,     2,     0,     1,     1,     0,     0,     1,     1,     0,     3,    12
"23","29045","Clark",   379,   7,   7,   256,    99,     3,     2,     2,     1,     2,     5,     1,     0,     0,     0,     0,     0,     0,     0,     0,     4,     1,     1,     0,     0,     2
"24","29047","Clay", 29088,  81,  81, 17116, 10534,   334,   276,   323,   186,   106,    20,    21,    37,     5,     4,     9,     3,     6,     2,     8,     0,     2,     4,     8,     0,    84
